date,open,close,high,low,volume,turnover,amount
2023-07-03,25.52,25.3,26.55,25.18,38594600.0,0.0278,1013008800.0
2023-07-04,25.26,26.33,26.92,25.04,41459100.0,0.0298,1096795700.0
2023-07-05,26.28,25.82,26.55,25.73,20466900.0,0.0147,539612400.0
2023-07-06,25.73,25.86,26.46,25.5,17296100.0,0.0124,455410300.0
2023-07-07,25.76,25.29,25.95,24.97,13466300.0,0.0097,345531900.0
2023-07-10,25.42,24.81,25.56,24.59,20660400.0,0.0149,520558600.0
2023-07-11,24.84,25.54,25.74,24.6,23777100.0,0.0171,607798300.0
2023-07-12,25.54,24.78,25.61,24.68,21661400.0,0.015600000000000001,550376400.0
2023-07-13,24.77,24.44,24.85,24.24,31223100.0,0.0225,775435399.9999999
2023-07-14,24.5,23.92,24.56,23.83,34136000.0,0.0246,831657000.0
2023-07-17,23.85,23.16,23.91,22.83,45349100.0,0.0326,1064548300.0
2023-07-18,23.19,23.77,24.14,23.09,43079700.0,0.031,1031654800.0
2023-07-19,23.7,23.28,23.83,23.06,22610000.0,0.0163,535102800.0
2023-07-20,23.28,22.5,23.36,22.48,27849100.0,0.02,642742300.0
2023-07-21,22.48,22.08,22.57,21.83,20225400.0,0.014499999999999999,454621300.0
2023-07-24,22.09,22.17,22.33,21.93,13824300.0,0.009899999999999999,310787200.0
2023-07-25,22.33,22.86,23.03,22.19,29294900.0,0.021099999999999997,671646500.0
2023-07-26,22.76,23.06,23.21,22.23,28233800.0,0.0203,649902400.0
2023-07-27,22.78,22.52,23.43,22.5,25071200.0,0.018000000000000002,582139300.0
2023-07-28,22.46,22.53,22.72,22.23,20334100.0,0.0146,464511600.00000006
2023-07-31,22.54,22.14,22.67,21.86,40354800.0,0.028999999999999998,910384299.9999999
2023-08-01,22.11,22.65,22.74,21.96,29579900.0,0.0213,672806400.0
2023-08-02,22.58,22.76,22.88,22.41,17733100.0,0.0128,407958900.0
2023-08-03,22.59,22.44,22.83,22.28,19583700.0,0.0141,445717900.0
2023-08-04,22.46,22.69,22.82,22.26,23280300.0,0.0167,534038399.99999994
2023-08-07,22.58,22.74,22.78,22.53,14697600.0,0.0106,337888300.0
2023-08-08,22.69,22.48,23.18,22.36,19162900.0,0.0138,441125100.0
2023-08-09,22.33,22.27,22.56,22.21,9956900.0,0.0072,225468500.0
2023-08-10,22.37,21.98,22.38,21.83,15472500.0,0.0111,345407800.0
2023-08-11,21.98,20.44,22.06,20.14,63034800.0,0.0453,1332277500.0
2023-08-14,20.18,20.25,20.31,19.59,30468500.0,0.0219,621749700.0
2023-08-15,20.37,19.96,20.41,19.82,18494400.0,0.013300000000000001,375543500.0
2023-08-16,19.96,19.39,20.01,19.35,32462700.0,0.0233,645664200.0
2023-08-17,19.26,19.05,19.28,18.91,32871300.0,0.0236,638154800.0
